defined_class	defined_class_name	entity	entity_name	attribute1	attribute1_name	attribute2	attribute2_name	exact_synonyms	xrefs	orcid
OBA:2045457	quantity ratio	UBERON:0001062	anatomical entity	PATO:0000070	amount	PATO:0001470	proportionality to	count ratio|quantity proportionality		https://orcid.org/0000-0001-8314-2140
OBA:2045458	length ratio	UBERON:0001062	anatomical entity	PATO:0000122	length	PATO:0001470	proportionality to	length proportionality		https://orcid.org/0000-0001-8314-2140
