defined_class	defined_class_name	attribute1	attribute1_name	attribute2	attribute2_name	exact_synonyms	broad_synonyms	narrow_synonyms	related_synonyms	xrefs	orcids
OBA:2052983	ICA1/YTHDF3 protein amount ratio in blood	OBA:2051970		OBA:2052720		ICA1/YTHDF3 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052984	ICAM1/REG1A protein amount ratio in blood	OBA:2051971		OBA:2052078		ICAM1/REG1A protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052985	TNFRSF13B/TNFRSF13C protein amount ratio in blood	OBA:2051972		OBA:2051973		TNFRSF13B/TNFRSF13C protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052986	TNFRSF13B/TNFRSF9 protein amount ratio in blood	OBA:2051972		OBA:2052721		TNFRSF13B/TNFRSF9 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052987	TNFRSF13B/TNFSF13B protein amount ratio in blood	OBA:2051972		OBA:2052722		TNFRSF13B/TNFSF13B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052988	TNFRSF13C/TNFSF13B protein amount ratio in blood	OBA:2051973		OBA:2052722		TNFRSF13C/TNFSF13B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052989	TNFRSF14/TNFRSF1A protein amount ratio in blood	OBA:2051974		OBA:2051975		TNFRSF14/TNFRSF1A protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052990	TNFRSF14/TNFSF14 protein amount ratio in blood	OBA:2051974		OBA:2052723		TNFRSF14/TNFSF14 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052991	TNFRSF1A/TNFRSF1B protein amount ratio in blood	OBA:2051975		OBA:2052724		TNFRSF1A/TNFRSF1B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052992	TNFRSF4/TNFRSF8 protein amount ratio in blood	OBA:2051976		OBA:2051977		TNFRSF4/TNFRSF8 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052993	TNFRSF4/TNFRSF9 protein amount ratio in blood	OBA:2051976		OBA:2052721		TNFRSF4/TNFRSF9 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2052994	TNFRSF8/TNFRSF9 protein amount ratio in blood	OBA:2051977		OBA:2052721		TNFRSF8/TNFRSF9 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
