defined_class	defined_class_name	process	process_name	attribute	attribute_name	location	location_name	exact_synonyms	broad_synonyms	narrow_synonyms	related_synonyms
OBA:VT0002455	dendritic cell antigen presentation trait	GO:0019882	antigen processing and presentation	PATO:0002045	dendritic	CL:0000000	cell
OBA:2050069	serum lipase activity amount	GO:0016298	lipase activity	PATO:0000070	amount	UBERON:0001977	serum
OBA:2100055		GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity	PATO:0000070	amount	UBERON:0000178	blood	activity of LP-PLA2 in blood|LP-PLA2 activity in blood|Lipoprotein-Associated Phospholipase A2 amount in blood
