iri	iri label	attribute	attribute label	location	location label
OBA_0000091	lysosomal lumen pH	PATO_0001842	acidity	GO_0043202	lysosomal lumen
OBA_VT0000056	urine trait	PATO_0000001	quality	UBERON_0001088	urine
OBA_VT0000069	embryo trait	PATO_0000001	quality	UBERON_0000922	embryo
OBA_VT0005369	muscular system trait	PATO_0000001	quality	UBERON_0000383	musculature of body
OBA_VT0005388	respiratory system trait	PATO_0000001	quality	UBERON_0001004	respiratory system
OBA_VT0005389	reproductive system trait	PATO_0000001	quality	UBERON_0000990	reproductive system
OBA_VT0005394	olfactory system trait	PATO_0000001	quality	UBERON_0005725	olfactory system
OBA_VT0010248	hemolymphoid system trait	PATO_0000001	quality	UBERON_0002193	hemolymphoid system
OBA_VT0010256	colostrum trait	PATO_0000001	quality	UBERON_0001914	colostrum
OBA_VT0010454	organism trait	PATO_0000001	quality	UBERON_0000468	multicellular organism
OBA_VT0015060	rump trait	PATO_0000001	quality	UBERON_0005473	sacral region
OBA_VT0015065	gustatory system trait	PATO_0000001	quality	UBERON_0001033	gustatory system
OBA_VT0015074	organ system trait	PATO_0000001	quality	UBERON_0000467	anatomical system
OBA_VT0015094	equilibrioception system trait	PATO_0000001	quality	UBERON_0004681	vestibular system
OBA_VT1000775	integumentary system trait	PATO_0000001	quality	UBERON_0002416	integumental system
OBA_VT1000776	alimentary system trait	PATO_0000001	quality	UBERON_0001007	digestive system
OBA_VT1000777	urinary system trait	PATO_0000001	quality	UBERON_0001008	renal system
OBA_VT1000781	nervous/sensory system trait	PATO_0000001	quality	UBERON_0001016	nervous system
OBA_VT1000783	immune system trait	PATO_0000001	quality	UBERON_0002405	immune system
OBA_VT1000784	circulatory system trait	PATO_0000001	quality	UBERON_0001009	circulatory system
OBA_0000036	body fluid levels	PATO_0000918	volume	UBERON_0000468	multicellular organism
OBA_0000058	cellular pH	PATO_0001842	acidity	GO_0005623	cell
OBA_VT0004271	paw/hand/foot/hoof morphology trait	PATO_0000051	morphology	UBERON_0002470	autopod region
