OBA:2020007	level of triacylglycerol (56:6) in blood serum	amount of triacylglycerol 56:6 in blood serum	amount of triacylglycerol (56:6) in blood serum
OBA:2040177	level of ceramide	amount of ceramide in anatomical entity	amount of ceramide
OBA:2040178	level of diglyceride	amount of diglyceride in anatomical entity	amount of diglyceride
OBA:2040179	level of phosphatidylcholine	amount of phosphatidylcholine in anatomical entity	amount of phosphatidylcholine
OBA:2040180	level of phosphatidylethanolamine	amount of phosphatidylethanolamine in anatomical entity	amount of phosphatidylethanolamine
OBA:2040181	level of phosphatidylinositol	amount of phosphatidylinositol in anatomical entity	amount of phosphatidylinositol
OBA:2040182	level of sphingomyelin	amount of sphingomyelin in anatomical entity	amount of sphingomyelin
OBA:2040183	level of triglyceride	amount of triglyceride in anatomical entity	amount of triglyceride
OBA:2040218	level of cyclic nucleotide-gated olfactory channel in blood serum	amount of cyclic nucleotide-gated channel alpha-2 in blood serum	amount of cyclic nucleotide-gated olfactory channel in blood serum
OBA:2040267	level of carcinoembryonic antigen-related cell adhesion molecule 3 in blood serum	amount of cell adhesion molecule CEACAM3 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 3 in blood serum
OBA:2040268	level of carcinoembryonic antigen-related cell adhesion molecule 8 in blood serum	amount of cell adhesion molecule CEACAM8 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 8 in blood serum
OBA:2040282	level of interleukin-16 in blood serum	amount of pro-interleukin-16 in blood serum	amount of interleukin-16 in blood serum
OBA:2040464	level of amiloride-sensitive amine oxidase [copper-containing] in blood serum	amount of diamine oxidase [copper-containing] in blood serum	amount of amiloride-sensitive amine oxidase [copper-containing] in blood serum
OBA:2040554	level of aflatoxin B1 aldehyde reductase member 3 in blood serum	amount of aldo-keto reductase family 7 member A3 in blood serum	amount of aflatoxin B1 aldehyde reductase member 3 in blood serum
OBA:2040560	level of aldehyde dehydrogenase family 1 member A3 in blood serum	amount of retinaldehyde dehydrogenase 3 in blood serum	amount of aldehyde dehydrogenase family 1 member A3 in blood serum
OBA:2040565	level of methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial in blood serum	amount of methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial in blood serum	amount of methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial in blood serum
OBA:2040605	level of retina-specific copper amine oxidase in blood serum	amount of amine oxidase [copper-containing] 2 in blood serum	amount of retina-specific copper amine oxidase in blood serum
OBA:2040606	level of membrane primary amine oxidase in blood serum	amount of amine oxidase [copper-containing] 3 in blood serum	amount of membrane primary amine oxidase in blood serum
OBA:2040729	level of ATP synthase F(0) complex subunit B1, mitochondrial in blood serum	amount of ATP synthase peripheral stalk subunit b, mitochondrial in blood serum	amount of ATP synthase F(0) complex subunit B1, mitochondrial in blood serum
OBA:2040730	level of ATP synthase-coupling factor 6, mitochondrial in blood serum	amount of ATP synthase peripheral stalk subunit F6, mitochondrial in blood serum	amount of ATP synthase-coupling factor 6, mitochondrial in blood serum
OBA:2040731	level of ATP synthase subunit f, mitochondrial in blood serum	amount of ATP synthase F(0) complex subunit f, mitochondrial in blood serum	amount of ATP synthase subunit f, mitochondrial in blood serum
OBA:2040732	level of ATP synthase subunit O, mitochondrial in blood serum	amount of ATP synthase peripheral stalk subunit OSCP, mitochondrial in blood serum	amount of ATP synthase subunit O, mitochondrial in blood serum
OBA:2040775	level of brain-specific angiogenesis inhibitor 1-associated protein 2 in blood serum	amount of BAR/IMD domain-containing adapter protein 2 in blood serum	amount of brain-specific angiogenesis inhibitor 1-associated protein 2 in blood serum
OBA:2040788	level of B-cell lymphoma/leukemia 11A in blood serum	amount of BCL11 transcription factor A in blood serum	amount of B-cell lymphoma/leukemia 11A in blood serum
OBA:2040820	level of valacyclovir hydrolase in blood serum	amount of serine hydrolase BPHL in blood serum	amount of valacyclovir hydrolase in blood serum
OBA:2040976	level of carcinoembryonic antigen-related cell adhesion molecule 16 in blood serum	amount of cell adhesion molecule CEACAM16 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 16 in blood serum
OBA:2040977	level of carcinoembryonic antigen-related cell adhesion molecule 19 in blood serum	amount of cell adhesion molecule CEACAM19 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 19 in blood serum
OBA:2040978	level of carcinoembryonic antigen-related cell adhesion molecule 20 in blood serum	amount of cell adhesion molecule CEACAM20 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 20 in blood serum
OBA:2040979	level of carcinoembryonic antigen-related cell adhesion molecule 21 in blood serum	amount of cell adhesion molecule CEACAM21 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 21 in blood serum
OBA:2040980	level of carcinoembryonic antigen-related cell adhesion molecule 4 in blood serum	amount of cell adhesion molecule CEACAM4 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 4 in blood serum
OBA:2040981	level of carcinoembryonic antigen-related cell adhesion molecule 7 in blood serum	amount of cell adhesion molecule CEACAM7 in blood serum	amount of carcinoembryonic antigen-related cell adhesion molecule 7 in blood serum
