Ontology ID	Type	Obsolete	Replacement Term
ID	TYPE	AT owl:deprecated^^xsd:boolean	AI IAO:0100001
http://purl.obolibrary.org/obo/OBA_1000584	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000781
http://purl.obolibrary.org/obo/OBA_0000074	owl:Class	true	http://purl.obolibrary.org/obo/OBA_1001087
http://purl.obolibrary.org/obo/OBA_1000441	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005389
http://purl.obolibrary.org/obo/OBA_1000242	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005388
http://purl.obolibrary.org/obo/OBA_VT0004271	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0000572
http://purl.obolibrary.org/obo/OBA_1000870	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0001529
http://purl.obolibrary.org/obo/OBA_1000791	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0002068
http://purl.obolibrary.org/obo/OBA_1000803	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0001440
http://purl.obolibrary.org/obo/OBA_0005767	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0005766
http://purl.obolibrary.org/obo/OBA_0003943	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004272
http://purl.obolibrary.org/obo/OBA_0005773	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0005771
http://purl.obolibrary.org/obo/OBA_1001016	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010120
http://purl.obolibrary.org/obo/OBA_1000242	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005388
http://purl.obolibrary.org/obo/OBA_1000441	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005389
http://purl.obolibrary.org/obo/OBA_1000584	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000781
http://purl.obolibrary.org/obo/OBA_1001040	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004954
http://purl.obolibrary.org/obo/OBA_1001032	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004951
http://purl.obolibrary.org/obo/OBA_1001031	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0004257
http://purl.obolibrary.org/obo/OBA_1001028	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000641
http://purl.obolibrary.org/obo/OBA_1001024	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0005629
http://purl.obolibrary.org/obo/OBA_1001039	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0003402
http://purl.obolibrary.org/obo/OBA_1001025	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0002707
http://purl.obolibrary.org/obo/OBA_0003746	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0002845
http://purl.obolibrary.org/obo/OBA_0003813	owl:Class	true	http://purl.obolibrary.org/obo/OBA_0002401
http://purl.obolibrary.org/obo/OBA_0003898	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000111
http://purl.obolibrary.org/obo/OBA_0004074	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000712
http://purl.obolibrary.org/obo/OBA_0004079	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT1000644
http://purl.obolibrary.org/obo/OBA_0004086	owl:Class	true	http://purl.obolibrary.org/obo/OBA_VT0010611
