ID	Type	Label	Parent
ID	TYPE	LABEL	SC %
LM:LMST03020024	owl:Class	(5z7e)-(3s)-262626-trifluoro-27-nor-910-seco-5710(19)-cholestatriene-325-diol	CHEBI:18059
LM:LMST03020077	owl:Class	(5z7e)-(3s)-262626272727-hexafluoro-910-seco-5710(19)16-cholestatetraen-23-yne-325-diol	CHEBI:18059
LM:LMGP01050003	owl:Class	1-(10z13z16z-nonadecatrienoyl)-sn-glycero-3-phosphocholine	CHEBI:18059
LM:LMGP06070001	owl:Class	1-(1z-eicosenyl)-glycero-3-phospho-(1-myo-inositol)	CHEBI:18059
LM:LMGP06050026	owl:Class	1-(5z8z11z14z17z-eicosapentaenoyl)-glycero-3-phospho-(1-myo-inositol)	CHEBI:18059
LM:LMGL02070009	owl:Class	1-(8-3-ladderane-octanoyl-2-(8-3-ladderane-octanyl)-sn-glycerol	CHEBI:18059
LM:LMGL02030030	owl:Class	1-(8-5-ladderane-octanyl)-2-(8-3-ladderane-octanyl)-sn-glycerol	CHEBI:18059
LM:LMGP03050001	owl:Class	1-(9z-octadecenoyl)-sn-glycero-3-phosphoserine	CHEBI:18059
LM:LMGP03020093	owl:Class	1-eicosyl-2-(4z7z10z13z16z19z-docosahexaenoyl)-glycero-3-phosphoserine	CHEBI:18059
LM:LMGP03020068	owl:Class	1-eicosyl-2-(7z10z13z16z-docosatetraenoyl)-glycero-3-phosphoserine	CHEBI:18059
LM:LMFA13010006	owl:Class	1-o-alpha-d-glucopyranosyl-12-nonadecandiol	CHEBI:18059
LM:LMFA08010015	owl:Class	12-aminolauramide	CHEBI:18059
LM:LMSP01080062	owl:Class	2s-amino-3r4r5s14r-tetrahydroxyeicos-6e-enoic acid	CHEBI:18059
LM:LMST01031126	owl:Class	3-o-(beta-d-glucopyranosyl)-campest-5-en-3beta-ol	CHEBI:18059
LM:LMFA07050145	owl:Class	(E)-isoheptadec-2-enoyl-CoA	CHEBI:18059
LM:LMFA01050081	owl:Class	311-dihydroxy-tetradecanoic acid	CHEBI:18059
LM:LMFA01040028	owl:Class	5-hydroperoxy-7-35-epidioxy-2-(2-octenyl)-cyclopentyl-6-heptenoic acid	CHEBI:18059
LM:LMFA08010010	owl:Class	9z-hexadecenamide	CHEBI:18059
LM:LMPK12010207	owl:Class	cyanidin 35-diglucoside (66-malyl diester)	CHEBI:18059
LM:LMFA08040010	owl:Class	n-(11z-eicosaenoyl)-ethanolamine	CHEBI:18059
LM:LMSP00000010	owl:Class	n-(15z-tetracosenoyl)-1-deoxysphing-4-enine	CHEBI:18059
LM:LMSP03020075	owl:Class	n-(2-hydroxy-docosanoyl)-pentadecasphing-4-enine-1-phosphoethanolamine	CHEBI:18059
LM:LMSP00000003	owl:Class	n-(3e-hexadecenoyl)-deoxysphing-4-enine-1-sulfonate	CHEBI:18059
LM:LMFA00000004	owl:Class	n-(9z12z15z-octadecatrienoyl)-glutamine	CHEBI:18059
LM:LMFA08040049	owl:Class	N-(heptadecanoyl)-ethanolamine	CHEBI:18059
LM:LMFA08020078	owl:Class	n-octadecanoyl-taurine	CHEBI:18059
LM:LMSP01080013	owl:Class	sphinga-4e8e10e-trienine	CHEBI:18059
LM:LMFA01030407	owl:Class	Blood docosatrienoate	CHEBI:18059
