defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0000017	big ears	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	MP_0000017
http://purl.obolibrary.org/obo/MP_0013612	enlarged caudal vertebrae	http://purl.obolibrary.org/obo/UBERON_0001095	caudal vertebra	MP_0013612
http://purl.obolibrary.org/obo/MP_0008534	enlarged fourth ventricle	http://purl.obolibrary.org/obo/UBERON_0002422	fourth ventricle	MP_0008534
http://purl.obolibrary.org/obo/MP_0008282	enlarged hippocampus	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal formation	MP_0008282
http://purl.obolibrary.org/obo/MP_0008535	enlarged lateral ventricles	http://purl.obolibrary.org/obo/UBERON_0002285	telencephalic ventricle	MP_0008535
http://purl.obolibrary.org/obo/MP_0001148	enlarged testis	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0001148
http://purl.obolibrary.org/obo/MP_0008536	enlarged third ventricle	http://purl.obolibrary.org/obo/UBERON_0002286	third ventricle	MP_0008536
http://purl.obolibrary.org/obo/MP_0008981	enlarged vagina	http://purl.obolibrary.org/obo/UBERON_0000996	vagina	MP_0008981
http://purl.obolibrary.org/obo/MP_0012479	increased amygdala size	http://purl.obolibrary.org/obo/UBERON_0001876	amygdala	MP_0012479
http://purl.obolibrary.org/obo/MP_0008228	increased anterior commissure size	http://purl.obolibrary.org/obo/UBERON_0000935	anterior commissure	MP_0008228
http://purl.obolibrary.org/obo/MP_0012461	increased brain internal capsule size	http://purl.obolibrary.org/obo/UBERON_0001887	internal capsule of telencephalon	MP_0012461
http://purl.obolibrary.org/obo/MP_0012487	increased cerebellum dentate nucleus size	http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus	MP_0012487
http://purl.obolibrary.org/obo/MP_0012471	increased cerebellum interpositus nucleus size	http://purl.obolibrary.org/obo/UBERON_0004073	cerebellum interpositus nucleus	MP_0012471
http://purl.obolibrary.org/obo/MP_0012473	increased cingulate cortex size	http://purl.obolibrary.org/obo/UBERON_0003027	cingulate cortex	MP_0012473
http://purl.obolibrary.org/obo/MP_0012485	increased cochlear VIII nucleus size	http://purl.obolibrary.org/obo/UBERON_0001720	cochlear nucleus	MP_0012485
http://purl.obolibrary.org/obo/MP_0012443	increased corpus callosum size	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum	MP_0012443
http://purl.obolibrary.org/obo/MP_0012483	increased corticospinal tract size	http://purl.obolibrary.org/obo/UBERON_0002707	corticospinal tract	MP_0012483
http://purl.obolibrary.org/obo/MP_0012459	increased dentate gyrus size	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus of hippocampal formation	MP_0012459
http://purl.obolibrary.org/obo/MP_0012469	increased genu of the facial nerve size	http://purl.obolibrary.org/obo/UBERON_0014915	genu of facial nerve	MP_0012469
http://purl.obolibrary.org/obo/MP_0012481	increased habenula size	http://purl.obolibrary.org/obo/UBERON_0001904	habenula	MP_0012481
http://purl.obolibrary.org/obo/MP_0010579	increased heart left ventricle size	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle	MP_0010579
http://purl.obolibrary.org/obo/MP_0008224	increased hippocampal commissure size	http://purl.obolibrary.org/obo/UBERON_0000908	hippocampal commissure	MP_0008224
http://purl.obolibrary.org/obo/MP_0012465	increased hippocampal fimbria size	http://purl.obolibrary.org/obo/UBERON_0002310	hippocampus fimbria	MP_0012465
http://purl.obolibrary.org/obo/MP_0012455	increased mammillothalamic tract size	http://purl.obolibrary.org/obo/UBERON_0002990	mammillothalamic tract of hypothalamus	MP_0012455
http://purl.obolibrary.org/obo/MP_0012463	increased optic tract size	http://purl.obolibrary.org/obo/UBERON_0001908	optic tract	MP_0012463
http://purl.obolibrary.org/obo/MP_0012475	increased piriform cortex size	http://purl.obolibrary.org/obo/UBERON_0004725	piriform cortex	MP_0012475
http://purl.obolibrary.org/obo/MP_0012449	increased primary motor cortex size	http://purl.obolibrary.org/obo/UBERON_0001384	primary motor cortex	MP_0012449
http://purl.obolibrary.org/obo/MP_0012452	increased retrosplenial granular cortex size	http://purl.obolibrary.org/obo/UBERON_0014918	retrosplenial granular cortex	MP_0012452
http://purl.obolibrary.org/obo/MP_0012477	increased secondary somatosensory cortex size	http://purl.obolibrary.org/obo/UBERON_0008934	secondary somatosensory cortex	MP_0012477
http://purl.obolibrary.org/obo/MP_0012467	increased striatum size	http://purl.obolibrary.org/obo/UBERON_0002435	striatum	MP_0012467
http://purl.obolibrary.org/obo/MP_0001296	macrophthalmia	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye	MP_0001296
http://purl.obolibrary.org/obo/MP_0000434	megacephaly	http://purl.obolibrary.org/obo/UBERON_0000033	head	MP_0000434
