defined_class	defined_class_label	color	color_label	entity	entity_label	term
http://purl.obolibrary.org/obo/MP_0010096	abnormal incisor color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001098	incisor tooth	MP_0010096
http://purl.obolibrary.org/obo/MP_0012404	abnormal nail color	http://purl.obolibrary.org/obo/PATO_0000014	color	http://purl.obolibrary.org/obo/UBERON_0001705	nail	MP_0012404
http://purl.obolibrary.org/obo/MP_0001575	cyanosis	http://purl.obolibrary.org/obo/PATO_0000319	cyan	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin	MP_0001575
http://purl.obolibrary.org/obo/MP_0001190	reddish skin	http://purl.obolibrary.org/obo/PATO_0000322	red	http://purl.obolibrary.org/obo/UBERON_0000014	zone of skin	MP_0001190
