defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0001259	abnormal body weight	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	MP_0001259
http://purl.obolibrary.org/obo/MP_0012775	abnormal brain weight	http://purl.obolibrary.org/obo/UBERON_0000955	brain	MP_0012775
http://purl.obolibrary.org/obo/MP_0004927	abnormal epididymis weight	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis	MP_0004927
http://purl.obolibrary.org/obo/MP_0004857	abnormal heart weight	http://purl.obolibrary.org/obo/UBERON_0000948	heart	MP_0004857
http://purl.obolibrary.org/obo/MP_0002707	abnormal kidney weight	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	MP_0002707
http://purl.obolibrary.org/obo/MP_0004847	abnormal liver weight	http://purl.obolibrary.org/obo/UBERON_0002107	liver	MP_0004847
http://purl.obolibrary.org/obo/MP_0005629	abnormal lung weight	http://purl.obolibrary.org/obo/UBERON_0002048	lung	MP_0005629
http://purl.obolibrary.org/obo/MP_0004854	abnormal ovary weight	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	MP_0004854
http://purl.obolibrary.org/obo/MP_0009107	abnormal pancreas weight	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas	MP_0009107
http://purl.obolibrary.org/obo/MP_0004908	abnormal seminal vesicle weight	http://purl.obolibrary.org/obo/UBERON_0000998	seminal vesicle	MP_0004908
http://purl.obolibrary.org/obo/MP_0004951	abnormal spleen weight	http://purl.obolibrary.org/obo/UBERON_0002106	spleen	MP_0004951
http://purl.obolibrary.org/obo/MP_0004850	abnormal testis weight	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0004850
http://purl.obolibrary.org/obo/MP_0004954	abnormal thymus weight	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	MP_0004954
