defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0012480	decreased amygdala size	http://purl.obolibrary.org/obo/UBERON_0001876	amygdala	MP_0012480
http://purl.obolibrary.org/obo/MP_0008226	decreased anterior commissure size	http://purl.obolibrary.org/obo/UBERON_0000935	anterior commissure	MP_0008226
http://purl.obolibrary.org/obo/MP_0012462	decreased brain internal capsule size	http://purl.obolibrary.org/obo/UBERON_0001887	internal capsule of telencephalon	MP_0012462
http://purl.obolibrary.org/obo/MP_0012488	decreased cerebellum dentate nucleus size	http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus	MP_0012488
http://purl.obolibrary.org/obo/MP_0012472	decreased cerebellum interpositus nucleus size	http://purl.obolibrary.org/obo/UBERON_0004073	cerebellum interpositus nucleus	MP_0012472
http://purl.obolibrary.org/obo/MP_0012474	decreased cingulate cortex size	http://purl.obolibrary.org/obo/UBERON_0003027	cingulate cortex	MP_0012474
http://purl.obolibrary.org/obo/MP_0012486	decreased cochlear VIII nucleus size	http://purl.obolibrary.org/obo/UBERON_0001720	cochlear nucleus	MP_0012486
http://purl.obolibrary.org/obo/MP_0000781	decreased corpus callosum size	http://purl.obolibrary.org/obo/UBERON_0002336	corpus callosum	MP_0000781
http://purl.obolibrary.org/obo/MP_0012484	decreased corticospinal tract size	http://purl.obolibrary.org/obo/UBERON_0002707	corticospinal tract	MP_0012484
http://purl.obolibrary.org/obo/MP_0012460	decreased dentate gyrus size	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus of hippocampal formation	MP_0012460
http://purl.obolibrary.org/obo/MP_0012470	decreased genu of the facial nerve size	http://purl.obolibrary.org/obo/UBERON_0014915	genu of facial nerve	MP_0012470
http://purl.obolibrary.org/obo/MP_0012482	decreased habenula size	http://purl.obolibrary.org/obo/UBERON_0001904	habenula	MP_0012482
http://purl.obolibrary.org/obo/MP_0010580	decreased heart left ventricle size	http://purl.obolibrary.org/obo/UBERON_0002084	heart left ventricle	MP_0010580
http://purl.obolibrary.org/obo/MP_0008222	decreased hippocampal commissure size	http://purl.obolibrary.org/obo/UBERON_0000908	hippocampal commissure	MP_0008222
http://purl.obolibrary.org/obo/MP_0012466	decreased hippocampal fimbria size	http://purl.obolibrary.org/obo/UBERON_0002310	hippocampus fimbria	MP_0012466
http://purl.obolibrary.org/obo/MP_0012456	decreased mammillothalamic tract size	http://purl.obolibrary.org/obo/UBERON_0002990	mammillothalamic tract of hypothalamus	MP_0012456
http://purl.obolibrary.org/obo/MP_0012464	decreased optic tract size	http://purl.obolibrary.org/obo/UBERON_0001908	optic tract	MP_0012464
http://purl.obolibrary.org/obo/MP_0012476	decreased piriform cortex size	http://purl.obolibrary.org/obo/UBERON_0004725	piriform cortex	MP_0012476
http://purl.obolibrary.org/obo/MP_0012450	decreased primary motor cortex size	http://purl.obolibrary.org/obo/UBERON_0001384	primary motor cortex	MP_0012450
http://purl.obolibrary.org/obo/MP_0012453	decreased retrosplenial granular cortex size	http://purl.obolibrary.org/obo/UBERON_0014918	retrosplenial granular cortex	MP_0012453
http://purl.obolibrary.org/obo/MP_0012478	decreased secondary somatosensory cortex size	http://purl.obolibrary.org/obo/UBERON_0008934	secondary somatosensory cortex	MP_0012478
http://purl.obolibrary.org/obo/MP_0012468	decreased striatum size	http://purl.obolibrary.org/obo/UBERON_0002435	striatum	MP_0012468
http://purl.obolibrary.org/obo/MP_0000433	microcephaly	http://purl.obolibrary.org/obo/UBERON_0000033	head	MP_0000433
http://purl.obolibrary.org/obo/MP_0001297	microphthalmia	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye	MP_0001297
http://purl.obolibrary.org/obo/MP_0004652	small caudal vertebrae	http://purl.obolibrary.org/obo/UBERON_0001095	caudal vertebra	MP_0004652
http://purl.obolibrary.org/obo/MP_0000018	small ears	http://purl.obolibrary.org/obo/UBERON_0001691	external ear	MP_0000018
http://purl.obolibrary.org/obo/MP_0013910	small fourth ventricle	http://purl.obolibrary.org/obo/UBERON_0002422	fourth ventricle	MP_0013910
http://purl.obolibrary.org/obo/MP_0008283	small hippocampus	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal formation	MP_0008283
http://purl.obolibrary.org/obo/MP_0013908	small lateral ventricles	http://purl.obolibrary.org/obo/UBERON_0002285	telencephalic ventricle	MP_0013908
http://purl.obolibrary.org/obo/MP_0001147	small testis	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0001147
http://purl.obolibrary.org/obo/MP_0013909	small third ventricle	http://purl.obolibrary.org/obo/UBERON_0002286	third ventricle	MP_0013909
http://purl.obolibrary.org/obo/MP_0008983	small vagina	http://purl.obolibrary.org/obo/UBERON_0000996	vagina	MP_0008983
