defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0000135	decreased compact bone thickness	http://purl.obolibrary.org/obo/UBERON_0001439	compact bone tissue	MP_0000135
http://purl.obolibrary.org/obo/MP_0005543	decreased cornea thickness	http://purl.obolibrary.org/obo/UBERON_0000964	cornea	MP_0005543
http://purl.obolibrary.org/obo/MP_0009346	decreased trabecular bone thickness	http://purl.obolibrary.org/obo/UBERON_0002483	trabecular bone tissue	MP_0009346
http://purl.obolibrary.org/obo/MP_0006099	thin cerebellar granule layer	http://purl.obolibrary.org/obo/UBERON_0002956	granular layer of cerebellar cortex	MP_0006099
http://purl.obolibrary.org/obo/MP_0012444	thin hippocampus molecular cell layer	http://purl.obolibrary.org/obo/UBERON_0005368	hippocampus molecular layer	MP_0012444
http://purl.obolibrary.org/obo/MP_0012446	thin hippocampus stratum oriens	http://purl.obolibrary.org/obo/UBERON_0005371	hippocampus stratum oriens	MP_0012446
http://purl.obolibrary.org/obo/MP_0012445	thin hippocampus stratum radiatum	http://purl.obolibrary.org/obo/UBERON_0005372	hippocampus stratum radiatum	MP_0012445
http://purl.obolibrary.org/obo/MP_0000589	thin tail	http://purl.obolibrary.org/obo/UBERON_0007812	post-anal tail	MP_0000589
http://purl.obolibrary.org/obo/MP_0000280	thin ventricular wall	http://purl.obolibrary.org/obo/UBERON_0004784	heart ventricle wall	MP_0000280
