defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0001260	increased body weight	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	MP_0001260
http://purl.obolibrary.org/obo/MP_0002176	increased brain weight	http://purl.obolibrary.org/obo/UBERON_0000955	brain	MP_0002176
http://purl.obolibrary.org/obo/MP_0009430	increased embryo weight	http://purl.obolibrary.org/obo/UBERON_0000922	embryo	MP_0009430
http://purl.obolibrary.org/obo/MP_0004928	increased epididymis weight	http://purl.obolibrary.org/obo/UBERON_0001301	epididymis	MP_0004928
http://purl.obolibrary.org/obo/MP_0002833	increased heart weight	http://purl.obolibrary.org/obo/UBERON_0000948	heart	MP_0002833
http://purl.obolibrary.org/obo/MP_0003917	increased kidney weight	http://purl.obolibrary.org/obo/UBERON_0002113	kidney	MP_0003917
http://purl.obolibrary.org/obo/MP_0002981	increased liver weight	http://purl.obolibrary.org/obo/UBERON_0002107	liver	MP_0002981
http://purl.obolibrary.org/obo/MP_0005630	increased lung weight	http://purl.obolibrary.org/obo/UBERON_0002048	lung	MP_0005630
http://purl.obolibrary.org/obo/MP_0004855	increased ovary weight	http://purl.obolibrary.org/obo/UBERON_0000992	ovary	MP_0004855
http://purl.obolibrary.org/obo/MP_0009108	increased pancreas weight	http://purl.obolibrary.org/obo/UBERON_0001264	pancreas	MP_0009108
http://purl.obolibrary.org/obo/MP_0004909	increased seminal vesicle weight	http://purl.obolibrary.org/obo/UBERON_0000998	seminal vesicle	MP_0004909
http://purl.obolibrary.org/obo/MP_0004952	increased spleen weight	http://purl.obolibrary.org/obo/UBERON_0002106	spleen	MP_0004952
http://purl.obolibrary.org/obo/MP_0004851	increased testis weight	http://purl.obolibrary.org/obo/UBERON_0000473	testis	MP_0004851
http://purl.obolibrary.org/obo/MP_0004955	increased thymus weight	http://purl.obolibrary.org/obo/UBERON_0002370	thymus	MP_0004955
