subject_id	predicate_id	object_id	match_type
VT:0009921	skos:exactMatch	OBA:VT0009921	HumanCurated
VT:0008245	skos:exactMatch	OBA:VT0008245	HumanCurated
VT:0005113	skos:exactMatch	OBA:VT0005113	HumanCurated
VT:0008246	skos:exactMatch	OBA:VT0008246	HumanCurated
VT:0004940	skos:exactMatch	OBA:VT0004940	HumanCurated
VT:1000743	skos:exactMatch	OBA:VT1000743	HumanCurated
VT:0008184	skos:exactMatch	OBA:VT0008184	HumanCurated
VT:0010130	skos:exactMatch	OBA:VT0010130	HumanCurated
VT:0005327	skos:exactMatch	OBA:VT0005327	HumanCurated
VT:0010108	skos:exactMatch	OBA:VT0010108	HumanCurated
VT:0009923	skos:exactMatch	OBA:VT0009923	HumanCurated
VT:0004941	skos:exactMatch	OBA:VT0004941	HumanCurated
VT:0006068	skos:exactMatch	OBA:VT0006068	HumanCurated
VT:0002882	skos:exactMatch	OBA:VT0002882	HumanCurated
VT:0005461	skos:exactMatch	OBA:VT0005461	HumanCurated
VT:0008248	skos:exactMatch	OBA:VT0008248	HumanCurated
VT:0008894	skos:exactMatch	OBA:VT0008894	HumanCurated
VT:0010132	skos:exactMatch	OBA:VT0010132	HumanCurated
VT:0004242	skos:exactMatch	OBA:VT0004242	HumanCurated
VT:0000136	skos:exactMatch	OBA:VT0000136	HumanCurated
VT:0008249	skos:exactMatch	OBA:VT0008249	HumanCurated
VT:0005078	skos:exactMatch	OBA:VT0005078	HumanCurated
VT:0005488	skos:exactMatch	OBA:VT0005488	HumanCurated
VT:0002433	skos:exactMatch	OBA:VT0002433	HumanCurated
VT:0008895	skos:exactMatch	OBA:VT0008895	HumanCurated
VT:0001046	skos:exactMatch	OBA:VT0001046	HumanCurated
VT:0005033	skos:exactMatch	OBA:VT0005033	HumanCurated
VT:0004946	skos:exactMatch	OBA:VT0004946	HumanCurated
VT:0002434	skos:exactMatch	OBA:VT0002434	HumanCurated
VT:0010134	skos:exactMatch	OBA:VT0010134	HumanCurated
VT:0010095	skos:exactMatch	OBA:VT0010095	HumanCurated
VT:0001048	skos:exactMatch	OBA:VT0001048	HumanCurated
VT:0002435	skos:exactMatch	OBA:VT0002435	HumanCurated
VT:0010096	skos:exactMatch	OBA:VT0010096	HumanCurated
VT:0006387	skos:exactMatch	OBA:VT0006387	HumanCurated
VT:0001830	skos:exactMatch	OBA:VT0001830	HumanCurated
VT:0002436	skos:exactMatch	OBA:VT0002436	HumanCurated
VT:0003877	skos:exactMatch	OBA:VT0003877	HumanCurated
VT:0008399	skos:exactMatch	OBA:VT0008399	HumanCurated
VT:0010097	skos:exactMatch	OBA:VT0010097	HumanCurated
VT:0008343	skos:exactMatch	OBA:VT0008343	HumanCurated
VT:0005006	skos:exactMatch	OBA:VT0005006	HumanCurated
VT:0008043	skos:exactMatch	OBA:VT0008043	HumanCurated
VT:0005584	skos:exactMatch	OBA:VT0005584	HumanCurated
VT:0010098	skos:exactMatch	OBA:VT0010098	HumanCurated
VT:0008344	skos:exactMatch	OBA:VT0008344	HumanCurated
VT:0010042	skos:exactMatch	OBA:VT0010042	HumanCurated
VT:0003879	skos:exactMatch	OBA:VT0003879	HumanCurated
VT:0003647	skos:exactMatch	OBA:VT0003647	HumanCurated
VT:0010099	skos:exactMatch	OBA:VT0010099	HumanCurated
VT:0003135	skos:exactMatch	OBA:VT0003135	HumanCurated
VT:0008345	skos:exactMatch	OBA:VT0008345	HumanCurated
VT:0008240	skos:exactMatch	OBA:VT0008240	HumanCurated
VT:1000612	skos:exactMatch	OBA:VT1000612	HumanCurated
VT:0002439	skos:exactMatch	OBA:VT0002439	HumanCurated
VT:0003648	skos:exactMatch	OBA:VT0003648	HumanCurated
VT:0001586	skos:exactMatch	OBA:VT0001586	HumanCurated
VT:0005425	skos:exactMatch	OBA:VT0005425	HumanCurated
VT:0001365	skos:exactMatch	OBA:VT0001365	HumanCurated
VT:0015046	skos:exactMatch	OBA:VT0015046	HumanCurated
VT:0005096	skos:exactMatch	OBA:VT0005096	HumanCurated
VT:0002208	skos:exactMatch	OBA:VT0002208	HumanCurated
VT:0001366	skos:exactMatch	OBA:VT0001366	HumanCurated
VT:0008211	skos:exactMatch	OBA:VT0008211	HumanCurated
VT:0002209	skos:exactMatch	OBA:VT0002209	HumanCurated
VT:0010032	skos:exactMatch	OBA:VT0010032	HumanCurated
VT:0010183	skos:exactMatch	OBA:VT0010183	HumanCurated
VT:0010192	skos:exactMatch	OBA:VT0010192	HumanCurated
VT:0000344	skos:exactMatch	OBA:VT0000344	HumanCurated
VT:0005168	skos:exactMatch	OBA:VT0005168	HumanCurated
VT:0004300	skos:exactMatch	OBA:VT0004300	HumanCurated
VT:0004294	skos:exactMatch	OBA:VT0004294	HumanCurated
VT:0001416	skos:exactMatch	OBA:VT0001416	HumanCurated
VT:0005169	skos:exactMatch	OBA:VT0005169	HumanCurated
VT:0004295	skos:exactMatch	OBA:VT0004295	HumanCurated
VT:0005547	skos:exactMatch	OBA:VT0005547	HumanCurated
VT:0005326	skos:exactMatch	OBA:VT0005326	HumanCurated
VT:0002407	skos:exactMatch	OBA:VT0002407	HumanCurated
VT:0005250	skos:exactMatch	OBA:VT0005250	HumanCurated
VT:0001105	skos:exactMatch	OBA:VT0001105	HumanCurated
VT:0004302	skos:exactMatch	OBA:VT0004302	HumanCurated
VT:0006173	skos:exactMatch	OBA:VT0006173	HumanCurated
VT:0004296	skos:exactMatch	OBA:VT0004296	HumanCurated
VT:0001106	skos:exactMatch	OBA:VT0001106	HumanCurated
VT:0004303	skos:exactMatch	OBA:VT0004303	HumanCurated
VT:0004297	skos:exactMatch	OBA:VT0004297	HumanCurated
VT:0008197	skos:exactMatch	OBA:VT0008197	HumanCurated
VT:0008769	skos:exactMatch	OBA:VT0008769	HumanCurated
VT:0001107	skos:exactMatch	OBA:VT0001107	HumanCurated
VT:0004976	skos:exactMatch	OBA:VT0004976	HumanCurated
VT:0015009	skos:exactMatch	OBA:VT0015009	HumanCurated
VT:0003446	skos:exactMatch	OBA:VT0003446	HumanCurated
VT:0001032	skos:exactMatch	OBA:VT0001032	HumanCurated
VT:0010094	skos:exactMatch	OBA:VT0010094	HumanCurated
VT:0008169	skos:exactMatch	OBA:VT0008169	HumanCurated
VT:0004230	skos:exactMatch	OBA:VT0004230	HumanCurated
VT:0002444	skos:exactMatch	OBA:VT0002444	HumanCurated
VT:0002620	skos:exactMatch	OBA:VT0002620	HumanCurated
VT:0008397	skos:exactMatch	OBA:VT0008397	HumanCurated
VT:0005068	skos:exactMatch	OBA:VT0005068	HumanCurated
VT:0006004	skos:exactMatch	OBA:VT0006004	HumanCurated
VT:0008398	skos:exactMatch	OBA:VT0008398	HumanCurated
VT:0005069	skos:exactMatch	OBA:VT0005069	HumanCurated
VT:0006005	skos:exactMatch	OBA:VT0006005	HumanCurated
VT:0006092	skos:exactMatch	OBA:VT0006092	HumanCurated
VT:0001005	skos:exactMatch	OBA:VT0001005	HumanCurated
VT:0002446	skos:exactMatch	OBA:VT0002446	HumanCurated
VT:0006006	skos:exactMatch	OBA:VT0006006	HumanCurated
VT:0000479	skos:exactMatch	OBA:VT0000479	HumanCurated
VT:0008051	skos:exactMatch	OBA:VT0008051	HumanCurated
