subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_match_field	object_match_field	match_string
VT:0010543	catecholamine amount	skos:exactMatch	OBA:1000984	catecholamine amount	Lexical	rdfs:label	rdfs:label	catecholamine amount
VT:0010716	anxiety-related behavior quality	skos:exactMatch	OBA:1000384	anxiety-related behavior quality	Lexical	rdfs:label	rdfs:label	anxiety-related behavior quality
VT:0010723	conditioned place preference behavior quality	skos:exactMatch	OBA:1000817	conditioned place preference behavior quality	Lexical	rdfs:label	rdfs:label	conditioned place preference behavior quality
