parent,parent_label,entity,entity_label
http://purl.obolibrary.org/obo/PATO_0001682,magnetism,http://purl.obolibrary.org/obo/PATO_0001684,decreased magnetism
http://purl.obolibrary.org/obo/PATO_0001682,magnetism,http://purl.obolibrary.org/obo/PATO_0001683,increased magnetism
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0001306,decreased temperature
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0045067,normal temperature
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0001305,increased temperature
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0001317,severe increased temperature
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0001316,moderate increased temperature
http://purl.obolibrary.org/obo/PATO_0000146,temperature,http://purl.obolibrary.org/obo/PATO_0001315,mild increased temperature
http://purl.obolibrary.org/obo/PATO_0001822,wetness,http://purl.obolibrary.org/obo/PATO_0045083,normal wetness
http://purl.obolibrary.org/obo/PATO_0001822,wetness,http://purl.obolibrary.org/obo/PATO_0001826,decreased wetness
http://purl.obolibrary.org/obo/PATO_0001822,wetness,http://purl.obolibrary.org/obo/PATO_0001825,increased wetness
http://purl.obolibrary.org/obo/PATO_0001035,force,http://purl.obolibrary.org/obo/PATO_0045024,normal force
http://purl.obolibrary.org/obo/PATO_0001035,force,http://purl.obolibrary.org/obo/PATO_0002246,decreased force
http://purl.obolibrary.org/obo/PATO_0001035,force,http://purl.obolibrary.org/obo/PATO_0002245,increased force
http://purl.obolibrary.org/obo/PATO_0000128,weight,http://purl.obolibrary.org/obo/PATO_0000583,decreased weight
http://purl.obolibrary.org/obo/PATO_0000128,weight,http://purl.obolibrary.org/obo/PATO_0000582,increased weight
http://purl.obolibrary.org/obo/PATO_0000140,position,http://purl.obolibrary.org/obo/PATO_0001476,decreased position
http://purl.obolibrary.org/obo/PATO_0000140,position,http://purl.obolibrary.org/obo/PATO_0001475,increased position
http://purl.obolibrary.org/obo/PATO_0000140,position,http://purl.obolibrary.org/obo/PATO_0045040,normal position
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002503,posterolateral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002495,dorsal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002498,medial orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0040013,dorsomedial orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002524,mesiolateral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002502,transverse orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002494,distal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002491,anterodorsal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002526,anterodistal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002504,posterodorsal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002496,dorsolateral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0005023,parasagittal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002514,anteromedial orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002490,anterior orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0040005,posteroventral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002500,ventrolaterally orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002492,anterolateral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0005024,longitudinal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002527,posterodistal orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002497,lateral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0040023,distomedial orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002501,ventral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002493,anteroventral orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002481,oblique orientation
http://purl.obolibrary.org/obo/PATO_0000133,orientation,http://purl.obolibrary.org/obo/PATO_0002499,posterior orientation
http://purl.obolibrary.org/obo/PATO_0002326,angle,http://purl.obolibrary.org/obo/PATO_0002025,external angle
http://purl.obolibrary.org/obo/PATO_0002326,angle,http://purl.obolibrary.org/obo/PATO_0001054,internal angle
http://purl.obolibrary.org/obo/PATO_0001687,elevation,http://purl.obolibrary.org/obo/PATO_0045043,normal elevation
http://purl.obolibrary.org/obo/PATO_0001687,elevation,http://purl.obolibrary.org/obo/PATO_0001689,decreased elevation
http://purl.obolibrary.org/obo/PATO_0001687,elevation,http://purl.obolibrary.org/obo/PATO_0001688,increased elevation
http://purl.obolibrary.org/obo/PATO_0001579,contractility,http://purl.obolibrary.org/obo/PATO_0045011,normal contractility
http://purl.obolibrary.org/obo/PATO_0001579,contractility,http://purl.obolibrary.org/obo/PATO_0001581,decreased contractility
http://purl.obolibrary.org/obo/PATO_0001579,contractility,http://purl.obolibrary.org/obo/PATO_0001580,increased contractility
http://purl.obolibrary.org/obo/PATO_0001439,tonicity,http://purl.obolibrary.org/obo/PATO_0001618,increased tonicity
http://purl.obolibrary.org/obo/PATO_0001439,tonicity,http://purl.obolibrary.org/obo/PATO_0045071,normal tonicity
http://purl.obolibrary.org/obo/PATO_0001439,tonicity,http://purl.obolibrary.org/obo/PATO_0001619,decreased tonicity
http://purl.obolibrary.org/obo/PATO_0001470,proportionality to,http://purl.obolibrary.org/obo/PATO_0040043,increased proportionality to
http://purl.obolibrary.org/obo/PATO_0001470,proportionality to,http://purl.obolibrary.org/obo/PATO_0040042,decreased proportionality to
http://purl.obolibrary.org/obo/PATO_0000040,distance,http://purl.obolibrary.org/obo/PATO_0045014,normal distance
http://purl.obolibrary.org/obo/PATO_0000040,distance,http://purl.obolibrary.org/obo/PATO_0000375,decreased distance
http://purl.obolibrary.org/obo/PATO_0000040,distance,http://purl.obolibrary.org/obo/PATO_0000374,increased distance
http://purl.obolibrary.org/obo/PATO_0002242,velocity,http://purl.obolibrary.org/obo/PATO_0045079,normal velocity
http://purl.obolibrary.org/obo/PATO_0002242,velocity,http://purl.obolibrary.org/obo/PATO_0002472,decreased velocity
http://purl.obolibrary.org/obo/PATO_0002242,velocity,http://purl.obolibrary.org/obo/PATO_0002471,increased velocity
http://purl.obolibrary.org/obo/PATO_0000008,speed,http://purl.obolibrary.org/obo/PATO_0045063,normal speed
http://purl.obolibrary.org/obo/PATO_0000008,speed,http://purl.obolibrary.org/obo/PATO_0000304,decreased speed
http://purl.obolibrary.org/obo/PATO_0000008,speed,http://purl.obolibrary.org/obo/PATO_0000303,increased speed
http://purl.obolibrary.org/obo/PATO_0001029,efficiency,http://purl.obolibrary.org/obo/PATO_0045015,normal efficiency
http://purl.obolibrary.org/obo/PATO_0001029,efficiency,http://purl.obolibrary.org/obo/PATO_0001676,increased efficiency
http://purl.obolibrary.org/obo/PATO_0001029,efficiency,http://purl.obolibrary.org/obo/PATO_0001675,decreased efficiency
http://purl.obolibrary.org/obo/PATO_0001019,mass density,http://purl.obolibrary.org/obo/PATO_0045031,normal mass density
http://purl.obolibrary.org/obo/PATO_0001019,mass density,http://purl.obolibrary.org/obo/PATO_0001790,decreased mass density
http://purl.obolibrary.org/obo/PATO_0001019,mass density,http://purl.obolibrary.org/obo/PATO_0001788,increased mass density
http://purl.obolibrary.org/obo/PATO_0015021,combustibility,http://purl.obolibrary.org/obo/PATO_0015023,decreased combustibility
http://purl.obolibrary.org/obo/PATO_0015021,combustibility,http://purl.obolibrary.org/obo/PATO_0015022,increased combustibility
http://purl.obolibrary.org/obo/PATO_0001025,pressure,http://purl.obolibrary.org/obo/PATO_0045044,normal pressure
http://purl.obolibrary.org/obo/PATO_0001025,pressure,http://purl.obolibrary.org/obo/PATO_0001576,increased pressure
http://purl.obolibrary.org/obo/PATO_0001025,pressure,http://purl.obolibrary.org/obo/PATO_0001575,decreased pressure
http://purl.obolibrary.org/obo/PATO_0000004,mobility,http://purl.obolibrary.org/obo/PATO_0045032,normal mobility
http://purl.obolibrary.org/obo/PATO_0000004,mobility,http://purl.obolibrary.org/obo/PATO_0002283,decreased mobility
http://purl.obolibrary.org/obo/PATO_0000004,mobility,http://purl.obolibrary.org/obo/PATO_0002282,increased mobility
http://purl.obolibrary.org/obo/PATO_0001543,flexibility,http://purl.obolibrary.org/obo/PATO_0045021,normal flexibility
http://purl.obolibrary.org/obo/PATO_0001543,flexibility,http://purl.obolibrary.org/obo/PATO_0001777,decreased flexibility
http://purl.obolibrary.org/obo/PATO_0001543,flexibility,http://purl.obolibrary.org/obo/PATO_0001776,increased flexibility
http://purl.obolibrary.org/obo/PATO_0000992,viscosity,http://purl.obolibrary.org/obo/PATO_0045081,normal viscosity
http://purl.obolibrary.org/obo/PATO_0000992,viscosity,http://purl.obolibrary.org/obo/PATO_0001694,decreased viscosity
http://purl.obolibrary.org/obo/PATO_0000992,viscosity,http://purl.obolibrary.org/obo/PATO_0001693,increased viscosity
http://purl.obolibrary.org/obo/PATO_0015009,humidity,http://purl.obolibrary.org/obo/PATO_0015011,decreased humidity
http://purl.obolibrary.org/obo/PATO_0015009,humidity,http://purl.obolibrary.org/obo/PATO_0015010,increased humidity
http://purl.obolibrary.org/obo/PATO_0015013,degree of illumination,http://purl.obolibrary.org/obo/PATO_0015015,decreased degree of illumination
http://purl.obolibrary.org/obo/PATO_0015013,degree of illumination,http://purl.obolibrary.org/obo/PATO_0015014,increased degree of illumination
http://purl.obolibrary.org/obo/PATO_0002136,radiopacity,http://purl.obolibrary.org/obo/PATO_0045046,normal radiopacity
http://purl.obolibrary.org/obo/PATO_0002136,radiopacity,http://purl.obolibrary.org/obo/PATO_0002145,decreased radiopacity
http://purl.obolibrary.org/obo/PATO_0002136,radiopacity,http://purl.obolibrary.org/obo/PATO_0002144,increased radiopacity
http://purl.obolibrary.org/obo/PATO_0000018,fluorescence,http://purl.obolibrary.org/obo/PATO_0045023,normal fluorescence
http://purl.obolibrary.org/obo/PATO_0000018,fluorescence,http://purl.obolibrary.org/obo/PATO_0001927,decreased fluorescence
http://purl.obolibrary.org/obo/PATO_0000018,fluorescence,http://purl.obolibrary.org/obo/PATO_0001926,increased fluorescence
http://purl.obolibrary.org/obo/PATO_0000058,odor,http://purl.obolibrary.org/obo/PATO_0045033,normal odor
http://purl.obolibrary.org/obo/PATO_0000058,odor,http://purl.obolibrary.org/obo/PATO_0001893,increased odor
http://purl.obolibrary.org/obo/PATO_0000058,odor,http://purl.obolibrary.org/obo/PATO_0001892,decreased odor
http://purl.obolibrary.org/obo/PATO_0000125,mass,http://purl.obolibrary.org/obo/PATO_0045030,normal mass
http://purl.obolibrary.org/obo/PATO_0000125,mass,http://purl.obolibrary.org/obo/PATO_0001563,increased mass
http://purl.obolibrary.org/obo/PATO_0000125,mass,http://purl.obolibrary.org/obo/PATO_0001562,decreased mass
http://purl.obolibrary.org/obo/PATO_0001509,functionality,http://purl.obolibrary.org/obo/PATO_0001625,increased functionality
