parent,parent_label,entity,entity_label
http://purl.obolibrary.org/obo/PATO_0000083,phase,http://purl.obolibrary.org/obo/PATO_0001542,delayed phase
http://purl.obolibrary.org/obo/PATO_0000083,phase,http://purl.obolibrary.org/obo/PATO_0000503,light phase
http://purl.obolibrary.org/obo/PATO_0000083,phase,http://purl.obolibrary.org/obo/PATO_0000501,dark phase
http://purl.obolibrary.org/obo/PATO_0000083,phase,http://purl.obolibrary.org/obo/PATO_0000500,advanced phase
http://purl.obolibrary.org/obo/PATO_0000057,occurrence,http://purl.obolibrary.org/obo/PATO_0002052,decreased occurrence
http://purl.obolibrary.org/obo/PATO_0000057,occurrence,http://purl.obolibrary.org/obo/PATO_0045086,normal occurrence
http://purl.obolibrary.org/obo/PATO_0000057,occurrence,http://purl.obolibrary.org/obo/PATO_0002051,increased occurrence
http://purl.obolibrary.org/obo/PATO_0001457,sensitivity of a process,http://purl.obolibrary.org/obo/PATO_0045088,normal sensitivity of a process
http://purl.obolibrary.org/obo/PATO_0001457,sensitivity of a process,http://purl.obolibrary.org/obo/PATO_0001552,decreased sensitivity of a process
http://purl.obolibrary.org/obo/PATO_0001457,sensitivity of a process,http://purl.obolibrary.org/obo/PATO_0001551,increased sensitivity of a process
http://purl.obolibrary.org/obo/PATO_0001458,sensitivity of a process to oxygen,http://purl.obolibrary.org/obo/PATO_0045089,normal sensitivity of a process to oxygen
http://purl.obolibrary.org/obo/PATO_0001458,sensitivity of a process to oxygen,http://purl.obolibrary.org/obo/PATO_0001554,decreased sensitivity of a process to oxygen
http://purl.obolibrary.org/obo/PATO_0001458,sensitivity of a process to oxygen,http://purl.obolibrary.org/obo/PATO_0001553,increased sensitivity of a process to oxygen
http://purl.obolibrary.org/obo/PATO_0001309,duration,http://purl.obolibrary.org/obo/PATO_0001417,irregular duration
http://purl.obolibrary.org/obo/PATO_0001309,duration,http://purl.obolibrary.org/obo/PATO_0000499,decreased duration
http://purl.obolibrary.org/obo/PATO_0001309,duration,http://purl.obolibrary.org/obo/PATO_0001416,regular duration
http://purl.obolibrary.org/obo/PATO_0001309,duration,http://purl.obolibrary.org/obo/PATO_0000498,increased duration
http://purl.obolibrary.org/obo/PATO_0001309,duration,http://purl.obolibrary.org/obo/PATO_0045084,normal duration
http://purl.obolibrary.org/obo/PATO_0001310,duration of temperature,http://purl.obolibrary.org/obo/PATO_0045085,normal duration of temperature
http://purl.obolibrary.org/obo/PATO_0001310,duration of temperature,http://purl.obolibrary.org/obo/PATO_0001312,increased duration of temperature
http://purl.obolibrary.org/obo/PATO_0001310,duration of temperature,http://purl.obolibrary.org/obo/PATO_0001311,decreased duration of temperature
http://purl.obolibrary.org/obo/PATO_0000161,rate,http://purl.obolibrary.org/obo/PATO_0040045,population growth rate
http://purl.obolibrary.org/obo/PATO_0000161,rate,http://purl.obolibrary.org/obo/PATO_0000912,increased rate
http://purl.obolibrary.org/obo/PATO_0000161,rate,http://purl.obolibrary.org/obo/PATO_0045000,normal rate
http://purl.obolibrary.org/obo/PATO_0000161,rate,http://purl.obolibrary.org/obo/PATO_0000911,decreased rate
http://purl.obolibrary.org/obo/PATO_0001492,growth rate,http://purl.obolibrary.org/obo/PATO_0040045,population growth rate
http://purl.obolibrary.org/obo/PATO_0000044,frequency,http://purl.obolibrary.org/obo/PATO_0045087,normal frequency
http://purl.obolibrary.org/obo/PATO_0000044,frequency,http://purl.obolibrary.org/obo/PATO_0000381,decreased frequency
http://purl.obolibrary.org/obo/PATO_0000044,frequency,http://purl.obolibrary.org/obo/PATO_0000380,increased frequency
http://purl.obolibrary.org/obo/PATO_0000062,sleep pattern,http://purl.obolibrary.org/obo/PATO_0001700,irregular sleep pattern
http://purl.obolibrary.org/obo/PATO_0000062,sleep pattern,http://purl.obolibrary.org/obo/PATO_0001699,regular sleep pattern
http://purl.obolibrary.org/obo/PATO_0001303,variability,http://purl.obolibrary.org/obo/PATO_0045074,normal variability
http://purl.obolibrary.org/obo/PATO_0001303,variability,http://purl.obolibrary.org/obo/PATO_0001584,increased variability
http://purl.obolibrary.org/obo/PATO_0001303,variability,http://purl.obolibrary.org/obo/PATO_0001583,decreased variability
http://purl.obolibrary.org/obo/PATO_0001611,variability of color,http://purl.obolibrary.org/obo/PATO_0045075,normal variability of color
http://purl.obolibrary.org/obo/PATO_0001611,variability of color,http://purl.obolibrary.org/obo/PATO_0001613,decreased variability of color
http://purl.obolibrary.org/obo/PATO_0001611,variability of color,http://purl.obolibrary.org/obo/PATO_0001612,increased variability of color
http://purl.obolibrary.org/obo/PATO_0001304,variability of temperature,http://purl.obolibrary.org/obo/PATO_0045078,normal variability of temperature
http://purl.obolibrary.org/obo/PATO_0001304,variability of temperature,http://purl.obolibrary.org/obo/PATO_0001308,increased variability of temperature
http://purl.obolibrary.org/obo/PATO_0001304,variability of temperature,http://purl.obolibrary.org/obo/PATO_0001307,decreased variability of temperature
http://purl.obolibrary.org/obo/PATO_0001956,variability of size,http://purl.obolibrary.org/obo/PATO_0045077,normal variability of size
http://purl.obolibrary.org/obo/PATO_0001956,variability of size,http://purl.obolibrary.org/obo/PATO_0001958,increased variability of size
http://purl.obolibrary.org/obo/PATO_0001956,variability of size,http://purl.obolibrary.org/obo/PATO_0001957,decreased variability of size
http://purl.obolibrary.org/obo/PATO_0001895,mating type,http://purl.obolibrary.org/obo/PATO_0001348,F minus mating type
http://purl.obolibrary.org/obo/PATO_0001895,mating type,http://purl.obolibrary.org/obo/PATO_0001347,F mating type
http://purl.obolibrary.org/obo/PATO_0001046,resistance to,http://purl.obolibrary.org/obo/PATO_0045047,normal resistance to
http://purl.obolibrary.org/obo/PATO_0001046,resistance to,http://purl.obolibrary.org/obo/PATO_0001651,decreased resistance to
http://purl.obolibrary.org/obo/PATO_0001046,resistance to,http://purl.obolibrary.org/obo/PATO_0001650,increased resistance to
http://purl.obolibrary.org/obo/PATO_0000085,sensitivity toward,http://purl.obolibrary.org/obo/PATO_0045049,normal sensitivity toward
http://purl.obolibrary.org/obo/PATO_0000085,sensitivity toward,http://purl.obolibrary.org/obo/PATO_0001550,decreased sensitivity toward
http://purl.obolibrary.org/obo/PATO_0000085,sensitivity toward,http://purl.obolibrary.org/obo/PATO_0001549,increased sensitivity toward
http://purl.obolibrary.org/obo/PATO_0001806,sensitivity to irradiation,http://purl.obolibrary.org/obo/PATO_0045048,normal sensitivity to irradiation
http://purl.obolibrary.org/obo/PATO_0001806,sensitivity to irradiation,http://purl.obolibrary.org/obo/PATO_0001808,increased sensitivity to irradiation
http://purl.obolibrary.org/obo/PATO_0001806,sensitivity to irradiation,http://purl.obolibrary.org/obo/PATO_0001807,decreased sensitivity to irradiation
http://purl.obolibrary.org/obo/PATO_0001043,susceptibility toward,http://purl.obolibrary.org/obo/PATO_0045066,normal susceptibility toward
http://purl.obolibrary.org/obo/PATO_0001043,susceptibility toward,http://purl.obolibrary.org/obo/PATO_0001670,decreased susceptibility toward
http://purl.obolibrary.org/obo/PATO_0001043,susceptibility toward,http://purl.obolibrary.org/obo/PATO_0001669,increased susceptibility toward
http://purl.obolibrary.org/obo/PATO_0000927,photosensitivity,http://purl.obolibrary.org/obo/PATO_0045038,normal photosensitivity
http://purl.obolibrary.org/obo/PATO_0000927,photosensitivity,http://purl.obolibrary.org/obo/PATO_0001698,increased photosensitivity
http://purl.obolibrary.org/obo/PATO_0000927,photosensitivity,http://purl.obolibrary.org/obo/PATO_0001697,decreased photosensitivity
http://purl.obolibrary.org/obo/PATO_0000152,threshold,http://purl.obolibrary.org/obo/PATO_0045069,normal threshold
http://purl.obolibrary.org/obo/PATO_0000152,threshold,http://purl.obolibrary.org/obo/PATO_0000708,decreased threshold
http://purl.obolibrary.org/obo/PATO_0000152,threshold,http://purl.obolibrary.org/obo/PATO_0000706,increased threshold
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0045020,normal fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001835,increased fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001834,decreased fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0045028,normal male fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001833,decreased male fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001832,increased male fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0045018,normal female fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001831,increased female fertility
http://purl.obolibrary.org/obo/PATO_0000274,fertility,http://purl.obolibrary.org/obo/PATO_0001830,decreased female fertility
http://purl.obolibrary.org/obo/PATO_0000279,male fertility,http://purl.obolibrary.org/obo/PATO_0045028,normal male fertility
http://purl.obolibrary.org/obo/PATO_0000279,male fertility,http://purl.obolibrary.org/obo/PATO_0001833,decreased male fertility
http://purl.obolibrary.org/obo/PATO_0000279,male fertility,http://purl.obolibrary.org/obo/PATO_0001832,increased male fertility
http://purl.obolibrary.org/obo/PATO_0000277,female fertility,http://purl.obolibrary.org/obo/PATO_0045018,normal female fertility
http://purl.obolibrary.org/obo/PATO_0000277,female fertility,http://purl.obolibrary.org/obo/PATO_0001831,increased female fertility
http://purl.obolibrary.org/obo/PATO_0000277,female fertility,http://purl.obolibrary.org/obo/PATO_0001830,decreased female fertility
http://purl.obolibrary.org/obo/PATO_0000273,fecundity,http://purl.obolibrary.org/obo/PATO_0045017,normal fecundity
http://purl.obolibrary.org/obo/PATO_0000273,fecundity,http://purl.obolibrary.org/obo/PATO_0001696,decreased fecundity
http://purl.obolibrary.org/obo/PATO_0000273,fecundity,http://purl.obolibrary.org/obo/PATO_0001695,increased fecundity
http://purl.obolibrary.org/obo/PATO_0002201,handedness,http://purl.obolibrary.org/obo/PATO_0002204,ambidextrous handedness
http://purl.obolibrary.org/obo/PATO_0002201,handedness,http://purl.obolibrary.org/obo/PATO_0002203,right handedness
http://purl.obolibrary.org/obo/PATO_0002201,handedness,http://purl.obolibrary.org/obo/PATO_0002202,left handedness
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0045029,normal male receptivity
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0001726,decreased male receptivity
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0001725,increased male receptivity
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0045019,normal female receptivity
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0001724,decreased female receptivity
http://purl.obolibrary.org/obo/PATO_0001719,receptivity,http://purl.obolibrary.org/obo/PATO_0001723,increased female receptivity
http://purl.obolibrary.org/obo/PATO_0001721,male receptivity,http://purl.obolibrary.org/obo/PATO_0045029,normal male receptivity
http://purl.obolibrary.org/obo/PATO_0001721,male receptivity,http://purl.obolibrary.org/obo/PATO_0001726,decreased male receptivity
http://purl.obolibrary.org/obo/PATO_0001721,male receptivity,http://purl.obolibrary.org/obo/PATO_0001725,increased male receptivity
http://purl.obolibrary.org/obo/PATO_0001720,female receptivity,http://purl.obolibrary.org/obo/PATO_0045019,normal female receptivity
http://purl.obolibrary.org/obo/PATO_0001720,female receptivity,http://purl.obolibrary.org/obo/PATO_0001724,decreased female receptivity
http://purl.obolibrary.org/obo/PATO_0001720,female receptivity,http://purl.obolibrary.org/obo/PATO_0001723,increased female receptivity
http://purl.obolibrary.org/obo/PATO_0002265,behavioural activity,http://purl.obolibrary.org/obo/PATO_0045007,normal behavioural activity
http://purl.obolibrary.org/obo/PATO_0002265,behavioural activity,http://purl.obolibrary.org/obo/PATO_0000761,decreased behavioural activity
http://purl.obolibrary.org/obo/PATO_0002265,behavioural activity,http://purl.obolibrary.org/obo/PATO_0000760,increased behavioural activity
http://purl.obolibrary.org/obo/PATO_0000188,coordination,http://purl.obolibrary.org/obo/PATO_0045012,normal coordination
http://purl.obolibrary.org/obo/PATO_0000188,coordination,http://purl.obolibrary.org/obo/PATO_0001860,decreased coordination
http://purl.obolibrary.org/obo/PATO_0000188,coordination,http://purl.obolibrary.org/obo/PATO_0001859,increased coordination
http://purl.obolibrary.org/obo/PATO_0002146,virulence,http://purl.obolibrary.org/obo/PATO_0045080,normal virulence
http://purl.obolibrary.org/obo/PATO_0002146,virulence,http://purl.obolibrary.org/obo/PATO_0002148,increased virulence
http://purl.obolibrary.org/obo/PATO_0002146,virulence,http://purl.obolibrary.org/obo/PATO_0002147,reduced virulence
http://purl.obolibrary.org/obo/PATO_0002360,tendency,http://purl.obolibrary.org/obo/PATO_0045068,normal tendency
http://purl.obolibrary.org/obo/PATO_0002360,tendency,http://purl.obolibrary.org/obo/PATO_0002362,decreased tendency
http://purl.obolibrary.org/obo/PATO_0002360,tendency,http://purl.obolibrary.org/obo/PATO_0002361,increased tendency
http://purl.obolibrary.org/obo/PATO_0000039,direction,http://purl.obolibrary.org/obo/PATO_0045090,cardinal direction
http://purl.obolibrary.org/obo/PATO_0000039,direction,http://purl.obolibrary.org/obo/PATO_0001904,circling direction
http://purl.obolibrary.org/obo/PATO_0001230,strength,http://purl.obolibrary.org/obo/PATO_0045064,normal strength
http://purl.obolibrary.org/obo/PATO_0001230,strength,http://purl.obolibrary.org/obo/PATO_0001779,decreased strength
http://purl.obolibrary.org/obo/PATO_0001230,strength,http://purl.obolibrary.org/obo/PATO_0001778,increased strength
http://purl.obolibrary.org/obo/PATO_0001815,fatigability,http://purl.obolibrary.org/obo/PATO_0045065,normal fatigability
http://purl.obolibrary.org/obo/PATO_0001815,fatigability,http://purl.obolibrary.org/obo/PATO_0001817,decreased fatigability
http://purl.obolibrary.org/obo/PATO_0001815,fatigability,http://purl.obolibrary.org/obo/PATO_0001816,increased fatigability
http://purl.obolibrary.org/obo/PATO_0001031,elasticity,http://purl.obolibrary.org/obo/PATO_0045016,normal elasticity
http://purl.obolibrary.org/obo/PATO_0001031,elasticity,http://purl.obolibrary.org/obo/PATO_0002288,decreased elasticity
http://purl.obolibrary.org/obo/PATO_0001031,elasticity,http://purl.obolibrary.org/obo/PATO_0002287,increased elasticity
http://purl.obolibrary.org/obo/PATO_0000050,life span,http://purl.obolibrary.org/obo/PATO_0045026,normal life span
http://purl.obolibrary.org/obo/PATO_0000050,life span,http://purl.obolibrary.org/obo/PATO_0001604,decreased life span
http://purl.obolibrary.org/obo/PATO_0000050,life span,http://purl.obolibrary.org/obo/PATO_0001603,increased life span
http://purl.obolibrary.org/obo/PATO_0000011,age,http://purl.obolibrary.org/obo/PATO_0045005,normal age
http://purl.obolibrary.org/obo/PATO_0000011,age,http://purl.obolibrary.org/obo/PATO_0001764,increased age
http://purl.obolibrary.org/obo/PATO_0000011,age,http://purl.obolibrary.org/obo/PATO_0001765,decreased age
http://purl.obolibrary.org/obo/PATO_0001431,adhesivity,http://purl.obolibrary.org/obo/PATO_0045003,normal adhesivity
http://purl.obolibrary.org/obo/PATO_0001431,adhesivity,http://purl.obolibrary.org/obo/PATO_0002334,decreased adhesivity
http://purl.obolibrary.org/obo/PATO_0001431,adhesivity,http://purl.obolibrary.org/obo/PATO_0002333,increased adhesivity
http://purl.obolibrary.org/obo/PATO_0001682,magnetism,http://purl.obolibrary.org/obo/PATO_0045027,normal magnetism
