predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	object_aliases	subject_start	subject_end	subject_label	subject_source	subject_text_id
None	PR:000001954	tumor necrosis factor receptor superfamily member 11A	None	None	None	None	True	None	None		1	53	tumor necrosis factor receptor superfamily member 11a	None	None
None	PR:000001954	tumor necrosis factor receptor superfamily member 11A	None	None	None	None	True	None	None		1	53	tumor necrosis factor receptor superfamily member 11a	None	None
None	PR:000001293	C-type lectin domain family 4 member K	None	None	None	None	True	None	None		1	38	c-type lectin domain family 4 member k	None	None
None	PR:000001293	C-type lectin domain family 4 member K	None	None	None	None	True	None	None		1	38	c-type lectin domain family 4 member k	None	None
