predicate_id	object_id	object_label	object_source	confidence	match_string	is_longest_match	matches_whole_text	match_type	info	object_aliases	subject_start	subject_end	subject_label	subject_source	subject_text_id
None	PR:000001004	CD4 molecule	None	None	None	None	True	None	None		1	31	t-cell surface glycoprotein cd4	None	None
None	PR:000007132	ephrin type-B receptor 4	None	None	None	None	True	None	None		1	24	ephrin type-b receptor 4	None	None
None	PR:000007132	ephrin type-B receptor 4	None	None	None	None	True	None	None		1	24	ephrin type-b receptor 4	None	None
None	PR:000001543	programmed cell death 1 ligand 1	None	None	None	None	True	None	None		1	32	programmed cell death 1 ligand 1	None	None
None	PR:000001543	programmed cell death 1 ligand 1	None	None	None	None	True	None	None		1	32	programmed cell death 1 ligand 1	None	None
None	PR:000007507	fibrinogen gamma chain	None	None	None	None	True	None	None		1	22	fibrinogen gamma chain	None	None
None	PR:000007507	fibrinogen gamma chain	None	None	None	None	True	None	None		1	22	fibrinogen gamma chain	None	None
None	PR:000009976	tumor necrosis factor receptor superfamily member 3	None	None	None	None	True	None	None		1	51	tumor necrosis factor receptor superfamily member 3	None	None
None	PR:000009976	tumor necrosis factor receptor superfamily member 3	None	None	None	None	True	None	None		1	51	tumor necrosis factor receptor superfamily member 3	None	None
None	PR:000001948	tumor necrosis factor ligand superfamily member 13B	None	None	None	None	True	None	None		1	51	tumor necrosis factor ligand superfamily member 13b	None	None
None	PR:000001948	tumor necrosis factor ligand superfamily member 13B	None	None	None	None	True	None	None		1	51	tumor necrosis factor ligand superfamily member 13b	None	None
None	PR:000016481	tumor necrosis factor receptor superfamily member 14	None	None	None	None	True	None	None		1	52	tumor necrosis factor receptor superfamily member 14	None	None
None	PR:000016481	tumor necrosis factor receptor superfamily member 14	None	None	None	None	True	None	None		1	52	tumor necrosis factor receptor superfamily member 14	None	None
None	PR:000004322	arylsulfatase B	None	None	None	None	True	None	None		1	15	arylsulfatase b	None	None
None	PR:000004322	arylsulfatase B	None	None	None	None	True	None	None		1	15	arylsulfatase b	None	None
None	PR:000001970	vascular cell adhesion protein 1	None	None	None	None	True	None	None		1	32	vascular cell adhesion protein 1	None	None
None	PR:000001970	vascular cell adhesion protein 1	None	None	None	None	True	None	None		1	32	vascular cell adhesion protein 1	None	None
None	PR:000001957	tumor necrosis factor receptor superfamily member 13C	None	None	None	None	True	None	None		1	53	tumor necrosis factor receptor superfamily member 13c	None	None
None	PR:000001957	tumor necrosis factor receptor superfamily member 13C	None	None	None	None	True	None	None		1	53	tumor necrosis factor receptor superfamily member 13c	None	None
None	PR:000016489	tumor necrosis factor ligand superfamily member 9	None	None	None	None	True	None	None		1	49	tumor necrosis factor ligand superfamily member 9	None	None
None	PR:000016489	tumor necrosis factor ligand superfamily member 9	None	None	None	None	True	None	None		1	49	tumor necrosis factor ligand superfamily member 9	None	None
None	PR:000005429	neural cell adhesion molecule L1-like protein	None	None	None	None	True	None	None		1	45	neural cell adhesion molecule l1-like protein	None	None
None	PR:000005429	neural cell adhesion molecule L1-like protein	None	None	None	None	True	None	None		1	45	neural cell adhesion molecule l1-like protein	None	None
None	PR:000012799	phospholipase A2, membrane associated	None	None	None	None	True	None	None		1	37	phospholipase a2, membrane associated	None	None
None	PR:000012799	phospholipase A2, membrane associated	None	None	None	None	True	None	None		1	37	phospholipase a2, membrane associated	None	None
None	PR:000005161	cell surface glycoprotein CD200 receptor 1	None	None	None	None	True	None	None		1	42	cell surface glycoprotein cd200 receptor 1	None	None
None	PR:000005161	cell surface glycoprotein CD200 receptor 1	None	None	None	None	True	None	None		1	42	cell surface glycoprotein cd200 receptor 1	None	None
