defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	term
http://purl.obolibrary.org/obo/MP_0010868	increased bone trabecula number	http://purl.obolibrary.org/obo/UBERON_0000440	trabecula	http://purl.obolibrary.org/obo/UBERON_0001474	bone element	MP_0010868
http://purl.obolibrary.org/obo/MP_0000562	polydactyly	http://purl.obolibrary.org/obo/UBERON_0002544	digit	http://purl.obolibrary.org/obo/UBERON_0002101	limb	MP_0000562
