defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	term
http://purl.obolibrary.org/obo/MP_0001663	abnormal digestive system physiology	http://purl.obolibrary.org/obo/UBERON_0001007	digestive system	MP_0001663
http://purl.obolibrary.org/obo/MP_0005253	abnormal eye physiology	http://purl.obolibrary.org/obo/UBERON_0000019	camera-type eye	MP_0005253
http://purl.obolibrary.org/obo/MP_0001348	abnormal lacrimal gland physiology	http://purl.obolibrary.org/obo/UBERON_0001817	lacrimal gland	MP_0001348
