iri	entity	attribute
OBA_1000061	UBERON_0012642	PATO_0000001
OBA_1000062	UBERON_0012644	PATO_0000001
OBA_1000063	UBERON_0012645	PATO_0000001
OBA_1000064	UBERON_0008907	PATO_0000001
OBA_1000065	UBERON_0008907	PATO_0000051
OBA_1000066	UBERON_0002513	PATO_0000051
OBA_1000067	UBERON_0002513	PATO_0000001
OBA_1000068	UBERON_0011658	PATO_0000117
OBA_1000069	UBERON_0011658	PATO_0000125
OBA_1000070	UBERON_0011661	PATO_0000117
OBA_1000071	UBERON_0010166	PATO_0000014
OBA_1000072	UBERON_0010166	PATO_0000019
OBA_1000073	UBERON_0010166	PATO_0000060
OBA_1000074	UBERON_0000972	PATO_0000117
OBA_1000075	GO_0005829	PATO_0000014
OBA_1000076	GO_0005623	PATO_0000001
OBA_1000077	GO_0005829	PATO_0000001
OBA_1000078	GO_0043226	PATO_0000001
OBA_1000079	UBERON_0001630	PATO_0001230
OBA_1000080	UBERON_0014892	PATO_0001230
OBA_1000081	UBERON_0003662	PATO_0001230
OBA_1000082	UBERON_0003663	PATO_0001230
OBA_1000083	GO_0005634	PATO_0000122
OBA_1000084	GO_0009986	PATO_0000150
OBA_1000085	GO_0005634	PATO_0000921
OBA_1000086	GO_0009986	PATO_0000001
OBA_1000087	GO_0009986	PATO_0000051
OBA_1000088	GO_0005886	PATO_0000001
OBA_1000089	GO_0005886	PATO_0000051
OBA_1000090	GO_0016020	PATO_0000001
OBA_1000091	GO_0016020	PATO_0000051
OBA_1000092	GO_0097611	PATO_0000052
OBA_1000093	GO_0097612	PATO_0000052
OBA_1000094	GO_0009507	PATO_0000052
OBA_1000095	GO_0009507	PATO_0000060
OBA_1000096	GO_0009507	PATO_0000014
OBA_1000097	GO_0009507	PATO_0000117
OBA_1000098	GO_0097612	PATO_0000921
OBA_1000099	UBERON_0000026	PATO_0000001
OBA_1000100	UBERON_0002534	PATO_0000001
OBA_1000101	UBERON_0005944	PATO_0000122
OBA_1000102	UBERON_0001130	PATO_0000122
OBA_1000103	UBERON_0006072	PATO_0000122
OBA_1000104	UBERON_0006077	PATO_0000122
OBA_1000105	UBERON_0000479	PATO_0000025
OBA_1000106	UBERON_0004755	PATO_0000025
OBA_1000107	UBERON_0000473	PATO_0000140
OBA_1000108	UBERON_0008963	PATO_0000001
OBA_1000109	UBERON_0000061	PATO_0002247
OBA_1000110	UBERON_0002481	PATO_0001019
OBA_1000111	UBERON_0002369	PATO_0000117
OBA_1000112	UBERON_0001091	PATO_0000117
OBA_1000113	UBERON_0001098	PATO_0000117
OBA_1000114	GO_0043679	PATO_0000133
OBA_1000115	GO_0030424	PATO_0000122
OBA_1000116	GO_0030424	PATO_0002261
OBA_1000117	GO_0030424	PATO_0000052
OBA_1000118	GO_0030425	PATO_0000070
OBA_1000119	GO_0030425	PATO_0000915
OBA_1000120	GO_0030424	PATO_0000133
OBA_1000121	GO_0030425	PATO_0000133
OBA_1000122	GO_0030425	PATO_0000052
OBA_1000123	GO_0030425	PATO_0000117
OBA_1000124	UBERON_0001769	PATO_0000318
OBA_1000125	UBERON_0001037	PATO_0000952
OBA_1000126	GO_0097613	PATO_0000122
OBA_1000127	GO_0097614	PATO_0000122
